city_and_state,black_pop_pct_chg_1940_1970,black_pop_pct_chg_1910_1940
"Springfield, MO",-2.7,-1
"St. Joseph, MO",-1.5,-0.6
"St. Louis, MO",6.9,27.5
"St. Paul, MN",0,2.1
"St. Petersburg, FL",-7,-4.9
"Stamford, CT",2.7,8.4
"Stockton, CA",0.8,9.4
"Syracuse, NY",0.2,9.8
"Tacoma, WA",-0.3,6.2
"Tallahassee, FL",-24.6,-14.6
"Tampa, FL",-2.2,-1.8
"Tempe, AZ",No data,0.7
"Toledo, OH",4.1,8.6
"Topeka, KS",-2,0
"Trenton, NJ",4.8,30.4
"Tucson, AZ",2.9,-1.1
"Tulsa, OK",-0.1,0
"Utica, NY",0,5.1
"Vicksburg, MS",-6.7,-1.8
"Waco, TX",-3.3,0.2
"Warwick, RI",0.1,-0.4
"Washington, DC",-0.3,42.8
"Waterbury, CT",1,8.1
"Wheeling, WV",0.2,0.6
"Wichita Falls, TX",1.9,0.5
"Wichita, KS",0.3,4.8
"Wilmington, DE",2.3,31
"Wilmington, NC",-6.6,-6.1
"Winston-Salem, NC",5.1,-10.9
"Woonsocket, RI",0.1,1.2
"Worcester, MA",-0.2,1.2
"Yonkers, NY",0.9,3.5
"Youngstown, OH",6.3,16.5
